Row,OE/E 0,Fr1,yc/h,q2/gH 3,N,S
1,61.523,4.706,0.608,0.001105,5,45
2,60.530,4.877,0.596,0.001044,5,45
3,63.390,4.758,0.565,0.000890,5,45
4,65.931,4.734,0.524,0.000710,5,45
5,70.308,4.658,0.459,0.000476,5,45
6,78.157,3.931,0.404,0.000325,5,45
7,70.203,6.223,0.314,0.000153,5,45
8,84.571,4.534,0.233,0.000063,5,45
9,60.486,4.807,1.231,0.001111,10,45
10,61.312,4.979,1.145,0.000896,10,45
11,67.193,5.283,0.878,0.000404,10,45
12,80.723,3.642,0.780,0.000283,10,45
13,65.084,7.361,0.601,0.000130,10,45
14,84.384,3.650,0.619,0.000141,10,45
15,81.226,5.346,0.473,0.000063,10,45
16,86.788,4.085,0.454,0.000056,10,45
17,87.066,4.101,0.442,0.000051,10,45
18,84.818,5.505,0.364,0.000029,10,45
19,53.397,5.346,1.956,0.001271,15,45
20,60.260,4.820,1.875,0.001121,15,45
21,62.144,4.810,1.779,0.000956,15,45
22,70.890,4.417,1.477,0.000547,15,45
23,70.062,5.166,1.242,0.000326,15,45
24,64.960,6.336,1.124,0.000241,15,45
25,71.521,5.883,0.991,0.000165,15,45
26,83.994,4.279,0.800,0.000087,15,45
27,88.529,3.764,0.654,0.000047,15,45
28,92.395,3.750,0.427,0.000013,15,45
29,56.414,5.158,2.548,0.001169,20,45
30,54.585,5.391,2.513,0.001122,20,45
31,57.646,5.155,2.467,0.001061,20,45
32,57.767,5.249,2.399,0.000976,20,45
33,54.751,5.615,2.365,0.000935,20,45
34,59.966,5.199,2.286,0.000844,20,45
35,60.962,5.239,2.198,0.000750,20,45
36,62.960,5.225,2.079,0.000635,20,45
37,69.447,4.674,1.941,0.000517,20,45
38,65.435,5.427,1.828,0.000431,20,45
39,71.836,5.084,1.589,0.000284,20,45
40,77.825,4.573,1.402,0.000195,20,45
41,90.285,2.673,1.055,0.000083,20,45
42,91.466,3.424,0.714,0.000026,20,45
43,95.710,3.243,0.372,0.000004,20,45
44,42.443,6.275,4.484,0.001343,35,45
45,46.099,6.045,4.383,0.001253,35,45
46,45.403,6.271,4.222,0.001120,35,45
47,44.749,6.526,4.043,0.000984,35,45
48,51.015,6.087,3.887,0.000874,35,45
49,53.859,6.078,3.639,0.000718,35,45
50,58.269,5.884,3.398,0.000584,35,45
51,63.573,5.571,3.144,0.000463,35,45
52,68.903,5.805,2.499,0.000232,35,45
53,83.291,4.175,1.943,0.000109,35,45
54,91.516,2.925,1.406,0.000041,35,45
55,94.435,2.919,0.908,0.000011,35,45
56,46.559,6.271,6.038,0.001040,50,45
57,68.387,5.267,4.245,0.000361,50,45
58,67.240,5.425,4.245,0.000361,50,45
59,55.561,7.034,4.174,0.000344,50,45
60,58.334,6.770,4.098,0.000325,50,45
61,63.225,6.202,4.027,0.000309,50,45
62,58.139,6.883,4.027,0.000309,50,45
63,69.063,5.410,4.000,0.000302,50,45
64,68.069,6.013,3.596,0.000220,50,45
65,79.533,4.282,3.437,0.000192,50,45
66,76.888,4.910,3.301,0.000170,50,45
67,71.326,6.503,2.884,0.000113,50,45
68,85.997,3.985,2.493,0.000073,50,45
69,90.110,3.264,2.162,0.000048,50,45
70,95.096,1.669,1.796,0.000027,50,45
71,92.397,3.082,1.742,0.000025,50,45
72,94.628,2.715,1.376,0.000012,50,45
73,96.580,2.165,1.047,0.000005,50,45
74,20.735,3.628,1.179,0.060239,3,45
75,28.297,3.900,0.899,0.026757,3,45
76,47.728,3.832,0.599,0.007919,3,45
77,62.845,4.358,0.331,0.001332,3,45
78,21.720,3.719,2.880,0.050072,5,45
79,32.943,3.440,2.582,0.036092,5,45
80,18.065,5.320,1.710,0.010492,5,45
81,74.946,3.549,0.709,0.000747,5,45
82,86.357,4.415,0.281,0.000047,5,45
83,24.643,3.232,6.885,0.084616,10,45
84,16.689,4.086,5.428,0.041449,10,45
85,19.022,4.039,5.300,0.038602,10,45
86,39.911,4.382,3.083,0.007594,10,45
87,54.504,6.423,1.280,0.000543,10,45
88,93.836,1.455,0.640,0.000068,10,45
89,22.915,3.249,10.603,0.092298,15,45
90,23.783,3.791,8.040,0.040247,15,45
91,31.232,4.566,5.172,0.010711,15,45
92,42.199,9.339,1.475,0.000249,15,45
93,23.388,3.692,6.333,0.047045,15,25
94,29.799,3.928,5.032,0.023607,15,25
95,39.447,4.290,3.594,0.008597,15,25
96,68.119,3.822,1.916,0.001304,15,25
97,75.376,4.321,1.225,0.000340,15,25
98,79.242,3.956,1.132,0.000269,15,25
99,95.727,0.234,0.284,0.000004,15,25
100,96.441,0.307,0.278,0.000004,15,25
101,22.516,3.382,2.334,0.077210,5,25
102,23.893,3.889,1.798,0.035287,5,25
103,34.138,3.903,1.451,0.018549,5,25
104,55.410,3.945,0.858,0.003837,5,25
105,72.669,2.791,0.728,0.002338,5,25
106,93.735,0.341,0.166,0.000028,5,25
107,95.734,0.258,0.094,0.000005,5,25
108,32.761,3.246,4.297,0.047945,10,25
109,34.477,3.817,3.217,0.020120,10,25
110,56.071,3.590,2.065,0.005324,10,25
111,87.756,2.395,0.733,0.000237,10,25
112,15.136,3.484,7.144,0.104340,15,15
113,13.145,3.811,6.327,0.072493,15,15
114,26.775,3.510,5.552,0.048963,15,15
115,34.037,3.676,4.416,0.024638,15,15
116,32.178,3.787,4.387,0.024160,15,15
117,41.184,3.682,3.750,0.015085,15,15
118,45.071,3.705,3.388,0.011127,15,15
119,48.367,4.225,2.592,0.004981,15,15
120,61.490,3.662,2.192,0.003016,15,15
121,61.848,4.369,1.716,0.001447,15,15
122,81.976,2.512,1.382,0.000756,15,15
123,89.186,2.460,0.802,0.000147,15,15
124,22.376,3.342,13.781,0.082713,30,15
125,25.744,3.337,12.855,0.067132,30,15
126,25.166,3.548,11.758,0.051369,30,15
127,30.232,3.763,9.622,0.028150,30,15
128,36.844,3.982,7.663,0.014220,30,15
129,53.027,4.906,3.900,0.001874,30,15
130,57.673,5.151,3.227,0.001062,30,15
131,94.996,1.428,1.043,0.000036,30,15
132,26.388,3.287,2.189,0.069367,5,15
133,29.013,3.289,2.064,0.058102,5,15
134,32.891,3.397,1.798,0.038402,5,15
135,45.866,3.232,1.418,0.018834,5,15
136,37.728,3.798,1.360,0.016632,5,15
137,48.168,3.971,0.998,0.006582,5,15
138,56.691,3.470,0.956,0.005780,5,15
139,61.166,3.711,0.764,0.002950,5,15
140,57.286,4.078,0.756,0.002861,5,15
141,66.842,3.952,0.584,0.001315,5,15
142,68.882,4.275,0.490,0.000779,5,15
143,83.096,4.530,0.233,0.000084,5,15
144,20.522,3.244,5.008,0.108685,10,15
145,27.132,3.277,4.263,0.067043,10,15
146,32.461,3.349,3.655,0.042257,10,15
147,34.180,3.740,2.964,0.022532,10,15
148,44.370,3.742,2.349,0.011221,10,15
149,44.105,4.156,2.030,0.007243,10,15
150,51.193,4.420,1.568,0.003338,10,15
151,56.819,4.907,1.172,0.001392,10,15
152,80.929,3.253,0.776,0.000404,10,15
153,95.475,0.598,0.298,0.000023,10,15
154,96.217,0.686,0.259,0.000015,10,15
